10.0 ,7.0 ,-5.0 ,9 ,0 ,,9
10.0 ,7.0 ,0.0 ,,,,38
25.0 ,43.0 ,0.0 ,,,,37
40.0 ,7.0 ,0.0 ,,,,15
40.0 ,7.0 ,-5.0 ,,,,10
32.5 ,25.0 ,-5.0 ,,,,9
32.5 ,25.0 ,0.0 ,,,,36
17.5 ,25.0 ,0.0 ,,,,12
17.5 ,25.0 ,-5.0 ,,,,12
10.0,7.0,-5.0,38 ,1 ,,27
10.0,7.0,0.0,,,,9
10.0,43.0,0.0,,,,5
14.0,42.9,0.0,,,,7
18.0,42.6,0.0,,,,6
22.0,42.0,0.0,,,,30
25.0,41.2,0.0,,,,19
27.5,40.2,0.0,,,,36
30.0,38.8,0.0,,,,24
31.5,37.2,0.0,,,,33
32.6,36.0,0.0,,,,8
32.7,34.0,0.0,,,,20
32.0,32.5,0.0,,,,5
30.2,31.4,0.0,,,,7
27.7,30.1,0.0,,,,8
24.7,29.3,0.0,,,,9
21.5,29.0,0.0,,,,10
10.0,29.0,0.0,,,,
25.0,29.0,0.0,,,,
28.6,28.7,0.0,,,,
32.0,27.7,0.0,,,,
35.0,26.2,0.0,,,,
37.3,24.3,0.0,,,,
39.0,21.9,0.0,,,,
39.9,19.3,0.0,,,,
39.9,16.7,0.0,,,,
39.0,14.1,0.0,,,,
37.3,11.8,0.0,,,,
35.0,9.8,0.0,,,,
32.0,8.3,0.0,,,,
28.6,8.0,0.0,,,,
26.5,7.9,0.0,,,,
23.0,7.6,0.0,,,,
19.0,7.5,0.0,,,,
15.0,7.2,0.0,,,,
12.0,7.1,0.0,,,,
10.0,7.0,0.0,,,,
10.0,7.0,-5.0,,,,
34.65,36.49,-5.00,37 ,2 ,,
34.65,36.49,0.00,,,,
33.03,37.67,0.00,,,,
31.28,38.62,0.00,,,,
29.41,39.34,0.00,,,,
27.46,39.8,0.00,,,,
25.47,39.99,0.00,,,,
23.47,39.92,0.00,,,,
21.5,39.59,0.00,,,,
19.59,38.99,0.00,,,,
17.78,38.15,0.00,,,,
16.09,37.07,0.00,,,,
14.56,35.78,0.00,,,,
13.22,34.29,0.00,,,,
12.09,32.64,0.00,,,,
11.19,30.86,0.00,,,,
10.53,28.97,0.00,,,,
10.13,27.01,0.00,,,,
10,25.01,0.00,,,,
10.13,23.01,0.00,,,,
10.53,21.05,0.00,,,,
11.18,19.16,0.00,,,,
12.08,17.38,0.00,,,,
13.21,15.73,0.00,,,,
14.55,14.24,0.00,,,,
16.07,12.95,0.00,,,,
17.76,11.86,0.00,,,,
19.57,11.02,0.00,,,,
21.48,10.42,0.00,,,,
23.45,10.08,0.00,,,,
25.45,10.01,0.00,,,,
27.44,10.2,0.00,,,,
29.39,10.66,0.00,,,,
31.26,11.37,0.00,,,,
33.01,12.32,0.00,,,,
34.63,13.5,0.00,,,,
34.63,13.5,-5.00,,,,
10.0 ,7.0 ,-5.0 ,15 ,3 ,,
10.0 ,7.0 ,0.0 ,,,,
10.0 ,43.0 ,0.0 ,,,,
16.0 ,43.0 ,0.0 ,,,,
24.0 ,42.0 ,0.0 ,,,,
32.0 ,40.0 ,0.0 ,,,,
38.0 ,36.0 ,0.0 ,,,,
40.0 ,31.0 ,0.0 ,,,,
40.0 ,19.0 ,0.0 ,,,,
38.0 ,14.0 ,0.0 ,,,,
32.0 ,10.0 ,0.0 ,,,,
24.0 ,8.0 ,0.0 ,,,,
16.0 ,7.0 ,0.0 ,,,,
10.0 ,7.0 ,0.0 ,,,,
10.0 ,7.0 ,-5.0 ,,,,
40.0 ,7.0 ,-5.0 ,10 ,4 ,,
40.0 ,7.0 ,0.0 ,,,,
10.0 ,7.0 ,0.0 ,,,,
10.0 ,43.0 ,0.0 ,,,,
40.0 ,43.0 ,0.0 ,,,,
40.0 ,43.0 ,-5.0 ,,,,
40.0 ,25.0 ,-5.0 ,,,,
40.0 ,25.0 ,0.0 ,,,,
10.0 ,25.0 ,0.0 ,,,,
10.0 ,25.0 ,-5.0 ,,,,
10.0 ,7.0 ,-5.0 ,9 ,5 ,,
10.0 ,7.0 ,0.0 ,,,,
10.0 ,43.0 ,0.0 ,,,,
40.0 ,43.0 ,0.0 ,,,,
40.0 ,43.0 ,-5.0 ,,,,
35.0 ,30.0 ,-5.0 ,,,,
35.0 ,30.0 ,0.0 ,,,,
10.0 ,30.0 ,0.0 ,,,,
10.0 ,30.0 ,-5.0 ,,,,
31.28,38.62,-5.0,36 ,6 ,,
31.28,38.62,0.0 ,,,,
29.41,39.34,0.0 ,,,,
